MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,BOROUGH_ID,BoroCD
2014 / 07,Bronx,11,3310.56,309.95,284.15,2,211
2014 / 07,Brooklyn,08,2851.72,255.3,233.17,3,308
2014 / 07,Queens,14,3717.8,238.5,209.0,4,414
2014 / 07,Brooklyn,15,4535.46,573.25,390.91,3,315
2014 / 07,Queens,06,3064.81,442.35,298.39,4,406
2014 / 07,Brooklyn,13,2344.71,171.97,161.44,3,313
2014 / 07,Bronx,10,2766.05,329.26,323.05,2,210
2014 / 07,Brooklyn,14,5075.49,417.67,291.16,3,314
2014 / 07,Manhattan,08,5203.59,1042.12,631.22,1,108
2014 / 07,Brooklyn,09,3226.07,224.61,178.98,3,309
2014 / 07,Brooklyn,01,4484.29,464.02,411.39,3,301
2014 / 07,Bronx,04,4485.96,209.94,232.54,2,204
2014 / 07,Brooklyn,03,4234.25,276.34,259.78,3,303
2014 / 07,Brooklyn,18,6178.1,598.42,523.54,3,318
2014 / 07,Staten Island,03,6218.99,835.91,751.86,5,503
2014 / 07,Queens,12,7725.53,522.92,694.14,4,412
2014 / 07,Bronx,06,2311.36,130.65,164.44,2,206
2014 / 07,Staten Island,01,5798.99,633.88,680.35,5,501
2014 / 07,Queens,13,6347.86,587.22,699.65,4,413
2014 / 07,Brooklyn,07,3557.73,435.88,359.56,3,307
2014 / 07,Bronx,01,2037.55,100.89,106.57,2,201
2014 / 07,Bronx,08,2540.17,348.48,304.46,2,208
2014 / 07,Manhattan,07,5053.34,981.19,616.97,1,107
2014 / 07,Brooklyn,05,5015.73,274.44,336.16,3,305
2014 / 07,Queens,02,3136.08,422.98,315.66,4,402
2014 / 07,Queens,10,4453.74,419.63,404.1,4,410
2014 / 07,Queens,01,4486.0,578.4,524.51,4,401
2014 / 07,Brooklyn,11,5264.6,661.45,443.37,3,311
2014 / 07,Brooklyn,17,4907.07,343.76,386.21,3,317
2014 / 07,Manhattan,06,2939.06,496.5,360.39,1,106
2014 / 07,Manhattan,05,1305.35,268.39,160.94,1,105
2014 / 07,Queens,05,5052.41,684.38,609.45,4,405
2014 / 07,Bronx,02,1640.73,86.37,109.89,2,202
2014 / 07,Bronx,07,3876.22,266.4,326.48,2,207
2014 / 07,Manhattan,12,5172.43,481.37,477.92,1,112
2014 / 07,Manhattan,03,3126.06,327.12,274.03,1,103
2014 / 07,Bronx,12,4351.22,391.9,479.23,2,212
2014 / 07,Manhattan,01,1300.07,300.09,182.04,1,101
2014 / 07,Brooklyn,02,2437.0,396.85,302.03,3,302
2014 / 07,Queens,07,7254.36,857.61,601.94,4,407
2014 / 07,Queens,08,4084.54,498.21,343.26,4,408
2014 / 07,Bronx,09,4136.65,206.97,269.59,2,209
2014 / 07,Brooklyn,10,3506.2,548.21,375.15,3,310
2014 / 07,Manhattan,04,2334.34,400.77,332.68,1,104
2014 / 07,Manhattan,11,2290.36,217.65,170.18,1,111
2014 / 07,Manhattan,02,1973.52,403.52,281.32,1,102
2014 / 07,Queens,04,4688.39,382.58,306.23,4,404
2014 / 07,Brooklyn,04,3430.37,212.67,264.03,3,304
2014 / 07,Bronx,03,1964.93,129.53,126.36,2,203
2014 / 07,Brooklyn,06,2294.57,535.2,373.4,3,306
2014 / 07,Staten Island,02,4750.21,611.8,541.51,5,502
2014 / 07,Bronx,05,3713.38,189.82,258.94,2,205
2014 / 07,Queens,11,3292.0,535.55,387.37,4,411
2014 / 07,Brooklyn,12,5326.39,567.76,328.45,3,312
2014 / 07,Manhattan,09,2563.04,244.79,201.66,1,109
2014 / 07,Brooklyn,16,2150.61,100.85,122.22,3,316
2014 / 07,Queens,03,5314.28,406.01,391.38,4,403
2014 / 08,Staten Island,03,5525.94,743.99,643.01,5,503
2014 / 08,Bronx,01,1890.07,89.65,98.87,2,201
2014 / 08,Brooklyn,06,2057.98,522.43,345.5,3,306
2014 / 08,Queens,05,4718.56,623.57,551.86,4,405
2014 / 08,Manhattan,07,4722.18,910.38,597.07,1,107
2014 / 08,Brooklyn,11,4855.59,622.69,417.42,3,311
2014 / 08,Manhattan,09,2419.1,285.5,216.82,1,109
2014 / 08,Queens,07,6628.54,823.34,567.3,4,407
2014 / 08,Bronx,10,2445.81,311.95,300.26,2,210
2014 / 08,Brooklyn,09,3025.22,224.26,183.1,3,309
2014 / 08,Brooklyn,14,4693.38,398.57,285.36,3,314
2014 / 08,Brooklyn,13,2205.18,158.24,152.16,3,313
2014 / 08,Bronx,04,4118.33,195.91,227.85,2,204
2014 / 08,Bronx,06,2106.3,101.71,127.92,2,206
2014 / 08,Staten Island,02,4145.21,526.31,457.04,5,502
2014 / 08,Queens,09,4054.29,417.5,387.74,4,409
2014 / 08,Manhattan,03,2955.95,311.16,255.11,1,103
2014 / 08,Queens,01,4058.24,531.39,482.7,4,401
2014 / 08,Queens,13,5712.56,530.1,608.39,4,413
2014 / 08,Brooklyn,03,3947.99,249.68,222.8,3,303
2014 / 08,Manhattan,06,2786.02,482.69,349.21,1,106
2014 / 08,Bronx,03,1786.52,99.27,105.86,2,203
2014 / 08,Staten Island,01,5093.81,578.67,578.23,5,501
2014 / 08,Bronx,08,2308.37,312.26,264.04,2,208
2014 / 08,Manhattan,05,1226.94,214.54,136.02,1,105
2014 / 08,Bronx,05,3431.87,187.33,252.98,2,205
2014 / 08,Manhattan,12,4862.75,407.96,408.31,1,112
2014 / 08,Manhattan,02,1880.64,346.41,246.73,1,102
2014 / 08,Bronx,12,3902.13,367.4,441.29,2,212
2014 / 08,Brooklyn,07,3279.8,399.13,326.44,3,307
2014 / 08,Brooklyn,10,3170.51,500.36,338.95,3,310
2014 / 08,Manhattan,08,4796.07,963.56,603.66,1,108
2014 / 08,Manhattan,01,1208.04,319.9,184.95,1,101
2014 / 08,Bronx,02,1511.43,83.55,105.47,2,202
2014 / 08,Brooklyn,17,4474.24,313.05,355.58,3,317
2014 / 08,Queens,08,3720.33,469.5,312.76,4,408
2014 / 08,Brooklyn,15,4218.41,527.52,362.26,3,315
2014 / 08,Brooklyn,02,2290.47,374.93,276.4,3,302
2014 / 08,Brooklyn,16,2011.34,102.17,117.3,3,316
2014 / 08,Manhattan,11,2116.76,180.65,143.7,1,111
2014 / 08,Brooklyn,18,5587.93,556.5,477.88,3,318
2014 / 08,Queens,06,2814.16,421.95,270.7,4,406
2014 / 08,Bronx,11,2982.66,286.25,263.83,2,211
2014 / 08,Brooklyn,08,2692.54,219.09,194.33,3,308
2014 / 08,Manhattan,10,2769.91,219.03,175.5,1,110
2014 / 08,Manhattan,04,2203.35,408.47,343.11,1,104
2014 / 08,Queens,02,2822.7,383.01,278.25,4,402
2014 / 08,Brooklyn,01,4259.51,442.97,346.96,3,301
2014 / 08,Queens,11,3016.28,489.79,335.09,4,411
2014 / 08,Brooklyn,04,3157.03,200.08,244.24,3,304
2014 / 08,Queens,14,3399.45,226.11,185.69,4,414
2014 / 08,Bronx,07,3552.22,231.18,306.45,2,207
2014 / 08,Brooklyn,05,4462.57,236.63,288.35,3,305
2014 / 08,Bronx,09,3786.75,187.1,253.11,2,209
2014 / 08,Queens,04,4286.51,334.44,279.64,4,404
2014 / 08,Queens,03,4854.09,377.29,351.5,4,403
2014 / 08,Queens,10,3899.81,374.34,345.57,4,410
2014 / 08,Queens,12,6923.28,479.52,616.93,4,412
2014 / 08,Brooklyn,12,4888.11,532.39,302.2,3,312
2014 / 09,Queens,10,3857.48,380.23,348.23,4,410
2014 / 09,Bronx,07,3629.29,238.39,306.12,2,207
2014 / 09,Brooklyn,17,4385.79,306.41,349.75,3,317
2014 / 09,Queens,05,4784.57,630.29,549.14,4,405
2014 / 09,Bronx,12,3835.04,350.44,427.34,2,212
2014 / 09,Bronx,02,1514.95,71.35,94.5,2,202
2014 / 09,Bronx,03,1808.89,109.9,111.79,2,203
2014 / 09,Bronx,08,2386.91,342.65,291.63,2,208
2014 / 09,Bronx,10,2493.67,312.76,286.39,2,210
2014 / 09,Brooklyn,14,5020.23,467.93,299.76,3,314
2014 / 09,Manhattan,12,5051.32,435.93,408.98,1,112
2014 / 09,Brooklyn,04,3157.94,195.84,238.69,3,304
2014 / 09,Brooklyn,13,2197.92,159.98,150.85,3,313
2014 / 09,Queens,09,4040.02,427.68,385.56,4,409
2014 / 09,Manhattan,09,2517.08,263.13,195.65,1,109
2014 / 09,Bronx,01,1916.37,108.07,109.37,2,201
